Rank	Inst	In-deg	Out-deg
1	seoul national university,seoul,KR	32	99
2	korea advanced institute of science and technology,daejeon,KR	2	35
3	texas a&m university,college station,US	0	10
4	the university of texas at austin,austin,US	0	9
5	university of wisconsin-madison,madison,US	0	8
6	university of california,davis,US	0	8
7	cornell university,ithaca,US	0	8
8	pusan national university,busan,KR	0	7
9	university of tokyo,tokyo,JP	0	6
10	the ohio state university,columbus,US	0	6
11	state university of new york,new york,US	0	5
12	rutgers university,new brunswick,US	0	5
13	harvard university,cambridge,US	0	4
14	johns hopkins university,baltimore,US	0	4
15	university of north carolina at chapel hill,chapel hill,US	0	4
16	california institute of technology,pasadena,US	0	3
17	the university of arizona,tucson,US	0	3
18	technical university of munich,munich,DE	0	3
19	hanyang university,seoul,KR	2	5
20	massachusetts institute of technology,cambridge,US	0	3
21	kangwon national university,chuncheon,KR	0	3
22	washington state university,pullman,US	0	3
23	vanderbilt university,nashville,US	0	3
24	university of nebraska-lincoln,lincoln,US	0	3
25	purdue university,west lafayette,US	0	3
26	university of minnesota-twin cities,minneapolis,US	0	3
27	university of missouri,columbia,US	0	3
28	university of georgia,athens,US	0	3
29	gwangju institute of science and technology,gwangju,KR	2	5
30	university of new south wales,sydney,AU	0	2
31	university of chicago,chicago,US	0	2
32	university of washington,seattle,US	0	2
33	stanford university,stanford,US	0	2
34	university of southern california,los angeles,US	0	2
35	florida state university,tallahassee,US	0	2
36	osaka university,osaka,JP	0	2
37	tufts university,medford,US	0	2
38	michigan state university,east lansing,US	0	2
39	university of california,los angeles,US	0	2
40	the university of tennessee,knoxville,US	0	2
41	mcgill university,montreal,CA	0	2
42	university of illinois at chicago,chicago,US	0	2
43	tokyo institute of technology,tokyo,JP	0	2
44	university of illinois at urbana-champaign,champaign,US	1	3
45	wayne state university,detroit,US	0	2
46	university of michigan,ann arbor,US	0	2
47	university of kentucky,lexington,US	0	2
48	yale university,new haven,US	0	2
49	oregon state university,corvallis,US	0	2
50	konkuk university,seoul,KR	0	2
51	north carolina state university,raleigh,US	0	2
52	ehime university,matsuyama,JP	0	2
53	utah state university,logan,US	0	2
54	northwestern university,evanston,US	0	2
55	the university of alabama,tuscaloosa,US	0	2
56	university of cambridge,cambridge,UK	0	2
57	university of texas southwestern medical center,dallas,US	1	2
58	university of manitoba,winnipeg,CA	0	1
59	columbia university in the city of new york,new york,US	0	1
60	baylor university,waco,US	0	1
61	stony brook university,stony brook,US	0	1
62	university of colorado boulder,boulder,US	0	1
63	weizmann institute of science,rehovot,IL	0	1
64	the rockefeller university,new york city,US	0	1
65	university of rhode island,kingston,US	0	1
66	university of pittsburgh,pittsburgh,US	0	1
67	louis pasteur university,strasbourg,FR	0	1
68	rhenish friedrich wilhelm university of bonn,bonn,DE	0	1
69	university of glasgow,glasgow,UK	0	1
70	university of hawaii at manoa,honolulu,US	0	1
71	acadia university,wolfville,CA	0	1
72	university of manchester,manchester,UK	0	1
73	virginia polytechnic institute and state university,blacksburg,US	0	1
74	osaka university,suita,JP	0	1
75	karolinska institute,solna,SE	0	1
76	kyushu university,fukuoka,JP	0	1
77	university of london,london,UK	0	1
78	university of tsukuba,tsukuba,JP	0	1
79	university of liverpool,liverpool,UK	0	1
80	university of maryland,college park,US	0	1
81	university of the ryukyus,nishihara,JP	0	1
82	friedrich schiller university,jena,DE	0	1
83	louisiana state university,baton rouge,US	0	1
84	brown university,providence,US	0	1
85	medical college of georgia,augusta,US	0	1
86	william marsh rice university,houston,US	0	1
87	university of san francisco,san francisco,US	0	1
88	university of southern mississippi,hattiesburg,US	0	1
89	university of erlangen-nuremberg,nuremberg,DE	0	1
90	national islamic university,new delhi,IN	0	1
91	oklahoma state university,stillwater,US	0	1
92	illinois institute of technology,chicago,US	0	1
93	the university of utah,salt lake city,US	0	1
94	the university of texas health science center at houston,houston,US	0	1
95	loyola university chicago,chicago,US	0	1
96	the catholic university of korea,seoul,KR	0	1
97	indiana state university,terre haute,US	0	1
98	north dakota state university,fargo,US	0	1
99	university of oxford,oxford,UK	0	1
100	korea research institute of bioscience and biotechnology,daejeon,KR	0	1
101	kagoshima university,kagoshima,JP	0	1
102	city of hope national medical center,duarte,US	0	1
103	illinois state university,normal,US	0	1
104	university of western,london,CA 	0	1
105	montana state university,bozeman,US	0	1
106	duke university,durham,US	0	1
107	university of sydney,sydney,AU	0	1
108	kyoto university,kyoto,JP	0	1
109	university of alabama at birmingham,birmingham,US	0	1
110	king's college london,london,US	0	1
111	kansas state university,manhattan,US	0	1
112	university of nottingham,nottingham,UK	0	1
113	paris-sud university,orsay,FR	0	1
114	pasteur institute,paris,FR	0	1
115	university of massachusetts amherst,amherst,US	0	1
116	pierre and marie curie university,paris,FR	0	1
117	hokkaido university,sapporo,JP	0	1
118	rutgers university,newark,US	0	1
119	university of california,berkeley,US	1	1
120	university of virginia,charlottesville,US	1	1
121	university of maryland,baltimore,US	1	1
122	oregon health & science university,portland,US	1	1
123	kyungpook national university,daegu,KR	1	1
124	sungkyunkwan university,suwon,KR	4	3
125	texas tech university,lubbock,US	1	0
126	hoseo university,asan,KR	1	0
127	kyonggi university,seoul,KR	1	0
128	university of california,santa barbara,US	1	0
129	kyung hee university,seoul ,KR	1	0
130	chonnam national university,yeosu,KR	1	0
131	university of alaska anchorage,anchorage ,US	1	0
132	yeungnam university,gyeongsan,KR	1	0
133	kongju national university,gongju,KR	1	0
134	hankuk university of foreign studies,seoul,KR	1	0
135	pai chai university,daejeon,KR 	1	0
136	chonnam national university,gwangju,KOREA	1	0
137	university of ulsan college of medicine,seoul,KOREA	1	0
138	gangneung-wonju national university,gangneung,KOREA	1	0
139	inje university,gimhae,KR	1	0
140	chungbuk national university ,cheongju,KR	1	0
141	daegu gyeongbuk institute of science and technology,daegu,KR	1	0
142	boston university,boston,US	1	0
143	university of science and technology,daejeon,KR	2	1
144	the catholic university of korea,bucheon,KR	2	0
145	soonchunhyang university,asan,KR	2	0
146	seonam university,namwon,KR	2	0
147	pukyong national university,busan,KR	7	4
148	sejong university,seoul,KR	3	0
149	sunchon national university,suncheon,KR	4	1
150	mokpo national university,muan,KR	4	0
151	chosun university,gwangju,KR	5	1
152	keimyung university,daegu,KR	4	0
153	changwon national university,changwon,KR	4	0
154	sangji university,wonju,KR	4	0
155	chung-ang university,anseong,KR	4	0
156	pai chai university,daejeon,KR	4	0
157	ajou university,suwon,KR	8	3
158	sungshin womenâ€™s university,seoul,KR	6	1
159	pohang university of science and technology,pohang,KR	21	15
160	wonkwang university,iksan,KR	5	0
161	inha university,incheon,KR	8	2
162	sangmyung university,seoul,KR	6	0
163	hannam university,daejeon,KR	9	2
164	kunsan national university,gunsan,KR	7	0
165	jeju national university,jeju,KR	8	1
166	daegu university,gyeongsan,KR	7	0
167	chungnam national university,daejeon,KR	12	4
168	chungbuk national university,cheongju,KR	12	4
169	hallym university,chuncheon,KR	8	0
170	university of ulsan,ulsan,KR	10	1
171	dongguk university,gyeongju,KR	9	0
172	kyung hee university,yongin,KR	10	1
173	university of seoul,seoul,KR	9	0
174	jeonbuk national university,jeonju,KR	16	6
175	"incheon national university,_x0008_incheon,KR
"	10	0
176	sogang university,seoul,KR	12	2
177	chung-ang university,seoul,KR	18	7
178	kyung hee university,seoul,KR	15	4
179	gangneung-wonju national university,gangneung,KR	12	0
180	chonnam national university,gwangju,KR	21	6
181	korea university,seoul,KR	34	17
182	ewha womans university,seoul,KR	20	1
183	gyeongsang national university,jinju,KR	26	5
184	yonsei university,seoul,KR	34	12
